Day,Checks,Location,Mood
1,24,University,Nervous
2,16,Home,Calm
3,31,University,Nervous
4,27,University,Nervous
5,30,University,Nervous
6,14,Home,Happy
7,17,Home,Happy
8,21,University,Calm
9,19,Home,Bored
10,15,University,Calm
11,29,University,Happy
12,35,University,Calm
13,10,Home,Calm
14,17,Home,Happy
15,23,University,Calm
16,13,Home,Bored
17,22,University,Calm
18,28,Outside,Happy
19,31,University,Happy
20,18,Outside,Calm
21,11,Home,Calm
22,18,University,Happy
23,22,Home,Happy
24,10,University,Bored
25,19,University,Calm
26,38,University,Nervous
27,23,Home,Happy
28,13,Home,Happy
29,20,University,Calm
30,13,Home,Happy
31,25,Outside,Nervous
32,17,University,Calm
33,40,University,Bored
34,16,Home,Calm
35,18,Home,Calm
36,17,University,Bored
37,20,Home,Calm
38,14,University,Calm
39,19,University,Calm
40,24,University,Bored
41,13,Home,Bored
42,17,Home,Calm
43,23,University,Bored
44,12,Home,Happy
45,27,University,Calm
46,24,University,Calm
47,30,University,Bored
48,18,Home,Happy
49,13,Home,Bored
50,21,University,Calm
51,15,Home,Happy
52,20,University,Calm
53,11,University,Bored
54,32,University,Nervous
55,9,Home,Happy
56,12,Home,Calm
57,22,University,Calm
58,23,Outside,Nervous
59,23,University,Bored
60,26,University,Calm
61,34,University,Bored
62,19,Home,Calm
63,23,Outside,Happy
